,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
23705,桃園市,中壢區,領航南路三段275號8樓,房地(土地+建物)+車位,商,2019-08-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,105513,1500000,14380000,81.13,16.07,36.76,25.01032,121.22052
23706,桃園市,中壢區,領航南路三段281號7樓,房地(土地+建物)+車位,商,2019-08-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,106166,1400000,17550000,100.98,19.39,36.76,25.01126,121.22119
23707,桃園市,中壢區,領航南路三段277號9樓,房地(土地+建物)+車位,商,2019-08-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,104512,1400000,12750000,72.11,14.41,36.76,25.01032,121.22052
23708,桃園市,中壢區,領航南路三段257號4樓,房地(土地+建物)+車位,商,2019-08-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,88406,1400000,11000000,72.11,14.41,36.76,25.0191,121.22452
23709,桃園市,中壢區,領航南路三段257號9樓,房地(土地+建物)+車位,商,2019-08-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,100378,1400000,12300000,72.11,14.41,36.76,25.01835,121.18489
23711,桃園市,中壢區,春德路２８３號十五樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,95006,1000000,5680000,32.11,8.72,17.11,24.95947,121.16846
23715,桃園市,中壢區,春德路２８９號十四樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),1,1,1,True,False,1,1,1,坡道機械,100097,800000,7000000,40.410000000000004,11.01,17.11,24.99519,121.17313
23717,桃園市,中壢區,春德路３０７號七樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,104176,800000,5540000,29.689999999999998,7.8,17.11,24.99508,121.17525
23718,桃園市,中壢區,春德路３０７號八樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,104176,800000,5540000,29.689999999999998,7.8,17.11,24.99508,121.17525
23719,桃園市,中壢區,春德路307號12樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,98681,1000000,5490000,29.689999999999998,7.8,17.11,24.99508,121.17525
23721,桃園市,中壢區,春德路２６７號九樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道機械,97487,1000000,8100000,47.48,11.47,17.11,24.94831,121.23507
23722,桃園市,中壢區,領航北路二段７９號,房地(土地+建物)+車位,住,2015-05-25,True,店面(店鋪),0,0,0,False,True,1,1,1,坡道平面,146265,0,25105000,94.79,23.92,32.06,25.00822,121.20255
23723,桃園市,中壢區,領航南路一段１０７號三樓,房地(土地+建物)+車位,住,2014-12-08,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,64519,0,16000000,118.76999999999998,38.65,67.96,25.00106,121.20585
23724,桃園市,中壢區,春德路２５７號十二樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,3,1,True,True,1,1,1,坡道平面,105098,1500000,10900000,58.21,14.22,34.16,24.99622,121.17618
23725,桃園市,中壢區,春德路２５９號五樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,3,1,True,True,1,1,1,坡道平面,96122,1500000,9580000,54.81999999999999,13.3,34.16,24.95947,121.16846
23726,桃園市,中壢區,春德路259號12樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,3,1,True,True,1,1,1,坡道平面,96003,1500000,9570000,54.81999999999999,13.3,34.16,24.99519,121.173
23727,桃園市,中壢區,春德路２７１號十五樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,2,坡道平面,91679,1800000,8400000,46.96999999999999,11.93,34.22,24.99598,121.1761
23728,桃園市,中壢區,春德路２７５號五樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,3,1,True,True,1,1,1,坡道平面,100058,1650000,10350000,56.58,14.22,34.16,24.95947,121.16846
23730,桃園市,中壢區,春德路２７７號十五樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),1,1,1,True,False,1,1,1,坡道機械,93327,1000000,7070000,42.440000000000005,11.47,17.11,24.95947,121.16846
23731,桃園市,中壢區,春德路２８３號十四樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,100487,800000,5750000,32.11,8.72,17.11,24.99519,121.1731
23735,桃園市,中壢區,春德路２９１號十四樓,房地(土地+建物)+車位,商,2019-11-14,True,住宅大樓(11層含以上有電梯),1,3,1,True,True,1,1,1,坡道平面,96249,1550000,9940000,56.8,14.22,34.16,24.99519,121.17314
23736,桃園市,中壢區,春德路２９５號十五樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,99181,800000,5160000,28.66,7.8,17.11,24.95947,121.16846
23740,桃園市,中壢區,春德路２９９號十四樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,99300,1000000,5400000,28.88,7.8,17.11,24.99519,121.17318
23741,桃園市,中壢區,春德路３０１號十五樓,房地(土地+建物)+車位,商,2019-11-14,True,套房(1房1廳1衛),0,1,1,True,False,1,1,1,坡道機械,98886,1000000,5350000,28.669999999999998,7.8,17.11,24.95947,121.16846
