,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
2,臺北市,文山區,忠順街一段10巷9號3樓,房地(土地+建物)+車位,住,1995-07-17,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,128417,0,21000000,97.45,32.19,0.0,24.98344,121.55851
5,臺北市,文山區,萬壽路２５巷９號五樓之１,房地(土地+建物)+車位,住,2019-01-24,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,162966,750000,11100000,42.709999999999994,16.99,16.8,24.98797,121.57587
13,臺北市,萬華區,內江街61號九樓,房地(土地+建物)+車位,商,2017-01-04,True,住宅大樓(11層含以上有電梯),2,4,1,True,True,1,1,2,坡道平面,220925,3500000,51200000,144.89000000000001,17.94,56.14,25.04165,121.50503
14,臺北市,萬華區,萬大路４２３巷３２弄１號六樓,房地(土地+建物)+車位,住,1998-08-24,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,112803,0,18300000,93.14999999999999,36.96,0.0,25.02106,121.50047
16,臺北市,中正區,忠孝東路一段１６２號８樓之１,房地(土地+建物)+車位,商,2019-08-07,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,塔式車位,340197,2000000,21000000,36.35,5.64,20.73,25.04394,121.52608
19,臺北市,萬華區,成都路１３９號八樓之８,房地(土地+建物)+車位,商,2015-10-01,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,180762,0,28000000,81.79,9.71,31.12,25.04346,121.50342
20,臺北市,內湖區,成功路五段450巷22弄20號14樓,房地(土地+建物)+車位,住,1998-09-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道機械,174691,0,16800000,57.69,15.95,19.0,25.07505,121.60775
23,臺北市,內湖區,瑞光路132巷69弄11號2樓,房地(土地+建物)+車位,住,1997-10-28,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,181029,0,31680000,107.78,72.94,0.0,25.07141,121.57893
24,臺北市,中山區,敬業三路162巷35號六樓,房地(土地+建物)+車位,住,2000-06-28,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,160813,0,25000000,85.72,47.09,0.0,25.07881,121.55741
27,臺北市,中山區,中山北路ㄧ段105巷12號3樓之5,房地(土地+建物)+車位,商,2017-01-10,True,華廈(10層含以下有電梯),0,0,0,False,True,1,1,1,升降平面,247448,1000000,29600000,75.94999999999999,15.71,42.73,25.05047,121.52383
28,臺北市,內湖區,康寧路三段１６５巷３１號,房地(土地+建物)+車位,住,1986-02-03,False,公寓(5樓含以下無電梯),2,3,1,True,False,1,1,1,一樓平面,82476,0,8500000,92.51,27.54,0.0,25.07181,121.61245
30,臺北市,內湖區,康寧路三段７０巷３０號,房地(土地+建物)+車位,住,2008-09-03,True,華廈(10層含以下有電梯),2,2,1,True,True,3,1,2,坡道機械,216078,0,23680000,55.66,17.77,32.86,25.06944,121.61065
32,臺北市,中山區,建國北路一段５５號五樓之３,房地(土地+建物)+車位,住,2007-11-07,True,住宅大樓(11層含以上有電梯),1,1,1,True,True,1,1,1,升降機械,167979,0,9600000,27.729999999999997,6.12,13.27,25.05038,121.53713
38,臺北市,信義區,松勤街9號5樓之8,房地(土地+建物)+車位,其他,2007-12-25,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,坡道機械,371758,0,25800000,34.769999999999996,6.69,17.45,25.03219,121.56104
42,臺北市,信義區,忠孝東路五段７４３巷３１弄２３號十六樓,房地(土地+建物)+車位,住,2018-08-24,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,310928,2700000,26800000,50.51,11.98,33.86,25.04389,121.58139
43,臺北市,松山區,饒河街１９９號十二樓之１,房地(土地+建物)+車位,商,2018-10-03,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道機械,234374,1700000,34660000,98.88000000000001,10.42,14.46,25.05075,121.57618
44,臺北市,松山區,饒河街１９９號十五樓之２,房地(土地+建物)+車位,商,2018-10-03,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,250671,2700000,27900000,62.14,6.97,37.72,25.05075,121.57618
47,臺北市,北投區,知行路293巷16號2樓之1,房地(土地+建物)+車位,住,2009-07-17,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,104535,0,13000000,48.92,17.59,47.42,25.12215,121.4665
65,臺北市,萬華區,中華路二段364巷7號8樓之2,房地(土地+建物)+車位,住,2013-07-02,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,1,坡道平面,62896,0,13000000,128.05,53.48,0.0,25.02834,121.5042
66,臺北市,中山區,敬業三路162巷77號七樓,房地(土地+建物)+車位,住,2000-06-28,False,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,155213,0,24100000,85.53,47.09,0.0,25.07882,121.55872
67,臺北市,內湖區,民權東路六段１２３巷３４弄２８號６樓,房地(土地+建物)+車位,商,2015-07-24,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,190192,2500000,38800000,132.53,20.98,33.24,25.07029,121.59183
68,臺北市,內湖區,大湖山莊街１７６巷１８號２樓之３,房地(土地+建物)+車位,住,2008-11-27,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,193058,2500000,20800000,63.71,22.28,24.09,25.08777,121.59912
70,臺北市,松山區,寶清街１０３之１１號８樓,房地(土地+建物)+車位,住,2017-11-24,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,236122,3000000,27500000,68.7,17.48,29.17,25.04989,121.56903
81,臺北市,中山區,長安東路二段１６２之１號２樓,房地(土地+建物)+車位,商,2001-03-26,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,塔式車位,211144,1500000,17280000,47.730000000000004,6.37,0.0,25.04823,121.53935
86,臺北市,文山區,政大三街４７號５樓,房地(土地+建物)+車位,住,2009-07-09,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,159689,2000000,34000000,143.5,86.54,35.87,24.98615,121.5825
88,臺北市,文山區,景華街１５０巷１之１號６樓,房地(土地+建物)+車位,住,2007-09-13,True,華廈(10層含以下有電梯),2,2,1,True,True,1,1,1,升降機械,162338,1500000,18000000,62.83,20.48,7.66,24.99631,121.54782
89,臺北市,文山區,和興路２６巷１１弄１８之１號３樓,房地(土地+建物)+車位,住,1990-02-13,False,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,127107,1950000,20350000,168.57,52.75,34.31,24.98464,121.54577
93,臺北市,大安區,永康街３７巷１０號２樓,房地(土地+建物)+車位,住,2012-10-25,True,華廈(10層含以下有電梯),1,2,1,True,True,1,1,1,其他,320521,0,25100000,40.26,15.81,0.0,25.0307,121.52986
98,臺北市,士林區,福華路２號,房地(土地+建物)+車位,住,2018-07-09,True,華廈(10層含以下有電梯),2,3,2,True,False,1,1,1,升降平面,260116,2000000,29000000,73.15,16.07,37.8,25.10019,121.52369
100,臺北市,士林區,小北街２８號八樓之１,房地(土地+建物)+車位,商,2019-02-12,True,套房(1房1廳1衛),1,1,1,True,False,1,1,1,升降機械,275823,1900000,16400000,32.18,13.11,8.48,25.09085,121.52529
103,臺北市,北投區,中央北路四段５１５巷４８號三樓,房地(土地+建物)+車位,其他,2013-11-29,True,其他,0,0,0,False,True,1,1,1,坡道平面,122764,2150000,15120000,71.71,26.7,27.52,25.13469,121.47734
104,臺北市,士林區,中山北路六段195巷8號13樓之3,房地(土地+建物)+車位,住,2008-05-06,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,248077,0,44500000,92.03,31.88,0.0,25.10786,121.5244
111,臺北市,南港區,經貿二路１５７巷３６弄１１０號十六樓,房地(土地+建物)+車位,住,2014-03-06,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,206698,0,59500000,172.42,47.47,45.17,25.06243,121.61383
113,臺北市,南港區,重陽路１２５巷３６弄３０號２樓之８、２樓之９,房地(土地+建物)+車位,住,2008-01-22,True,華廈(10層含以下有電梯),2,2,2,True,True,1,1,2,坡道機械,123060,0,18400000,83.53,30.25,0.0,25.05732,121.59661
114,臺北市,南港區,經貿二路235巷25號20樓,房地(土地+建物)+車位,住,2014-12-04,True,住宅大樓(11層含以上有電梯),2,4,6,True,True,1,1,4,坡道平面,201578,0,135880000,381.09000000000003,112.21,0.0,25.06132,121.61608
115,臺北市,內湖區,舊宗路一段46號三樓之13,房地(土地+建物)+車位,商,2003-09-10,True,華廈(10層含以下有電梯),1,0,2,True,True,1,1,1,坡道機械,214276,0,15100000,32.4,17.93,13.81,25.05827,121.5805
116,臺北市,內湖區,新豐街88號10樓,房地(土地+建物)+車位,住,2015-05-22,True,華廈(10層含以下有電梯),1,2,1,True,True,1,1,1,坡道平面,223529,2600000,25400000,61.650000000000006,27.47,47.15,25.06058,121.58382
119,臺北市,中山區,中山北路1段53巷8號6樓之7,房地(土地+建物)+車位,商,2008-01-04,True,套房(1房1廳1衛),1,1,1,True,True,1,1,2,坡道機械,129656,0,9850000,24.26,5.73,39.12,25.05249,121.52279
120,臺北市,中山區,中山北路二段１８３號十三樓之２,房地(土地+建物)+車位,商,2019-06-04,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,352373,3800000,35880000,61.489999999999995,7.8,29.77,25.06377,121.52215
121,臺北市,中山區,中山北路二段１８３號十三樓之３,房地(土地+建物)+車位,商,2019-06-04,True,住宅大樓(11層含以上有電梯),2,3,3,True,True,1,1,1,坡道平面,352252,4000000,86360000,156.6,20.16,29.77,25.06377,121.52215
123,臺北市,中山區,中山北路二段１８３號十一樓之５,房地(土地+建物)+車位,商,2019-06-04,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,321666,4000000,75500000,150.17,18.85,29.77,25.0638,121.5226
124,臺北市,中山區,中山北路二段１８３號十四樓之２,房地(土地+建物)+車位,商,2019-06-04,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,351494,2800000,34800000,61.489999999999995,7.8,29.77,25.06377,121.52215
127,臺北市,萬華區,西園路一段１１５號三樓之６,房地(土地+建物)+車位,商,2019-05-28,False,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道機械,161383,1950000,16000000,57.79,9.68,37.74,25.03804,121.49979
128,臺北市,萬華區,西園路一段１１５號八樓之２,房地(土地+建物)+車位,商,2019-05-28,False,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,155970,2050000,24650000,96.75,15.6,43.59,25.03804,121.49979
132,臺北市,文山區,秀明路一段１２９巷６８弄１６號四樓,房地(土地+建物)+車位,住,2018-03-02,True,華廈(10層含以下有電梯),2,4,2,True,True,1,1,1,坡道平面,172396,2500000,36300000,131.76999999999998,149.94,35.02,24.99114,121.56692
134,臺北市,文山區,政大二街107號5樓,房地(土地+建物)+車位,住,1996-08-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道機械,113822,0,19500000,103.94999999999999,64.46,0.0,24.988,121.5838
135,臺北市,中正區,和平西路一段19號九樓,房地(土地+建物)+車位,商,2019-04-25,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,2,1,1,坡道機械,321114,2300000,28580000,52.230000000000004,8.24,13.93,25.02702,121.52113
136,臺北市,中正區,和平西路一段19號七樓,房地(土地+建物)+車位,商,2019-04-25,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,2,1,1,坡道機械,321603,2300000,28620000,52.230000000000004,8.24,13.93,25.02702,121.52113
141,臺北市,文山區,忠順街一段16號12樓,房地(土地+建物)+車位,住,2019-02-18,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,2,坡道平面,202982,4550000,46750000,140.77,34.49,93.4,24.98386,121.55841
142,臺北市,文山區,忠順街一段18號2樓,房地(土地+建物)+車位,住,2019-02-18,True,住宅大樓(11層含以上有電梯),1,1,1,True,True,1,1,1,坡道平面,189547,2700000,20000000,61.58,15.29,46.7,24.98392,121.55887
143,臺北市,文山區,景豐街62巷23號5樓,房地(土地+建物)+車位,住,1994-12-02,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,坡道平面,117239,0,8460000,36.47,10.5,0.0,25.00138,121.54584
146,臺北市,文山區,興隆路二段203巷133號2樓,房地(土地+建物)+車位,住,2014-06-05,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,3,1,1,坡道平面,118976,0,23700000,107.22999999999999,39.24,41.96,25.00333,121.54642
149,臺北市,文山區,指南路三段32巷1號2樓,房地(土地+建物)+車位,住,2010-07-29,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,3,1,1,坡道機械,112428,0,18500000,95.17999999999999,33.74,6.81,24.98273,121.58024
151,臺北市,文山區,汀州路四段239號三樓,房地(土地+建物)+車位,住,2010-11-04,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,114208,0,20578000,107.37,35.61,0.0,25.00191,121.53629
152,臺北市,文山區,汀州路四段249號十二樓,房地(土地+建物)+車位,住,2010-11-04,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,138372,0,24860000,107.03999999999999,35.52,0.0,25.00191,121.53629
153,臺北市,文山區,汀州路四段273號十一樓,房地(土地+建物)+車位,住,2010-11-04,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,133867,0,24238000,107.88,35.8,0.0,25.00131,121.53602
164,臺北市,萬華區,中華路二段４１６巷５８號二樓之２,房地(土地+建物)+車位,住,2013-07-02,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,139376,0,25850000,114.88,48.01,0.0,25.02718,121.50416
165,臺北市,中正區,連雲街２６巷３４號二樓,房地(土地+建物)+車位,住,2011-09-14,True,華廈(10層含以下有電梯),1,1,1,True,True,1,1,1,升降機械,240051,0,22800000,50.32000000000001,23.17,0.0,25.03739,121.53005
169,臺北市,內湖區,大湖山莊街96巷3號4樓,房地(土地+建物)+車位,住,1998-04-29,True,華廈(10層含以下有電梯),1,2,1,True,True,1,1,1,坡道機械,152495,0,12680000,49.65,37.28,0.0,25.08792,121.60392
172,臺北市,內湖區,環山路二段28號3樓之11,房地(土地+建物)+車位,住,2018-09-28,False,華廈(10層含以下有電梯),0,0,0,False,True,2,1,1,坡道平面,165593,0,18500000,50.92,49.97,32.05,25.0851,121.56497
174,臺北市,內湖區,民權東路六段１８０巷４２弄９號１０樓,房地(土地+建物)+車位,商,2018-07-18,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,214238,2000000,37000000,109.01,15.57,41.04,25.06528,121.59157
175,臺北市,中山區,合江街５５巷１５號,房地(土地+建物)+車位,住,2009-04-14,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,升降平面,162737,0,20500000,46.99,20.0,52.51,25.05693,121.53993
176,臺北市,內湖區,民權東路六段１８０巷４２弄１３號１０樓之３,房地(土地+建物)+車位,商,2018-07-18,True,住宅大樓(11層含以上有電梯),1,1,1,True,True,1,1,2,坡道機械,196419,2200000,20850000,63.29,9.54,41.04,25.06837,121.59292
178,臺北市,南港區,三重路41巷37號5樓之2,房地(土地+建物)+車位,住,2012-01-19,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,2,坡道平面,145995,0,46200000,166.39999999999998,34.78,71.84,25.06073,121.61284
180,臺北市,松山區,延壽街３４８號８樓,房地(土地+建物)+車位,住,2009-03-20,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,1,坡道平面,226918,0,48000000,127.99000000000001,57.96,0.0,25.0564,121.55923
186,臺北市,南港區,經貿二路235巷33號12樓,房地(土地+建物)+車位,住,2014-12-04,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,215374,0,65000000,165.89000000000001,49.98,55.14,25.06176,121.61579
188,臺北市,松山區,延壽街３９９號六樓之１,房地(土地+建物)+車位,住,1981-12-11,True,華廈(10層含以下有電梯),2,3,2,True,True,1,2,1,其他,192196,0,33000000,156.04000000000002,27.61,41.65,25.05653,121.55736
199,臺北市,北投區,稻香路172號5樓,房地(土地+建物)+車位,住,2017-08-15,True,華廈(10層含以下有電梯),3,2,2,True,True,1,1,1,坡道平面,135989,1600000,25700000,119.64,53.17,23.91,25.1437,121.48885
201,臺北市,北投區,翠宜路９巷６號四樓,房地(土地+建物)+車位,住,1994-09-02,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,87486,0,15800000,120.66,88.76,0.0,25.14301,121.50471
211,臺北市,文山區,木新路三段４５巷７弄１號３樓,房地(土地+建物)+車位,住,1995-12-07,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,123856,1800000,19350000,100.59,39.46,0.0,24.98213,121.56441
217,臺北市,萬華區,西藏路113號13樓之1,房地(土地+建物)+車位,住,2011-09-08,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,2,1,1,坡道平面,145208,0,25770111,107.91,37.86,0.0,25.02967,121.50306
228,臺北市,南港區,中坡南路４９巷３號５樓,房地(土地+建物)+車位,住,1995-11-15,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,1,坡道平面,218752,2500000,35700000,172.72,43.08,40.15,25.04346,121.58395
234,臺北市,南港區,東明街２８號５樓之３,房地(土地+建物)+車位,住,2009-03-12,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,2,坡道平面,231876,5000000,39000000,108.21000000000001,33.74,77.52,25.05574,121.60422
240,臺北市,大安區,永康街３７巷２４號３樓,房地(土地+建物)+車位,住,1999-11-19,True,華廈(10層含以下有電梯),2,3,1,True,True,1,1,1,升降機械,275205,0,38680000,74.99,36.39,0.0,25.03076,121.53056
241,臺北市,內湖區,安康路２６９號７樓,房地(土地+建物)+車位,住,2014-07-24,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,塔式車位,143597,1500000,18700000,71.07,19.48,8.11,25.06641,121.61437
244,臺北市,中山區,北安路５５４巷２３號３樓,房地(土地+建物)+車位,住,1993-12-21,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道機械,264730,3600000,35500000,146.45,29.15,40.26,25.0804,121.54914
248,臺北市,內湖區,大湖街１６０巷２０之１號２樓,房地(土地+建物)+車位,住,1994-05-11,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,升降平面,158710,2000000,25500000,99.42999999999999,56.28,0.0,25.08246,121.60118
249,臺北市,內湖區,五分街７２巷７號３樓之３,房地(土地+建物)+車位,住,2007-10-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,175882,2000000,16760000,61.63,19.63,38.41,25.06684,121.61643
259,臺北市,士林區,基河路１５號十四樓,房地(土地+建物)+車位,商,2015-11-04,True,住宅大樓(11層含以上有電梯),0,0,0,False,True,1,1,5,坡道平面,211983,7300000,81880000,235.61,59.02,160.9,25.0872,121.52474
262,臺北市,北投區,中央北路三段40巷34弄16號17樓,房地(土地+建物)+車位,住,2012-07-31,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,124973,0,23000000,103.92,25.06,0.0,25.13959,121.486
263,臺北市,士林區,福港街１６０巷２２號四樓,房地(土地+建物)+車位,住,2014-01-15,True,華廈(10層含以下有電梯),2,2,1,True,True,2,1,1,升降平面,153935,0,24000000,77.29,32.22,46.76,25.08732,121.51708
265,臺北市,士林區,後街21巷19號3樓之2,房地(土地+建物)+車位,住,2014-06-18,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,塔式車位,203598,0,14600000,36.129999999999995,14.65,14.81,25.09854,121.52484
266,臺北市,北投區,磺港路１４２號十三樓,房地(土地+建物)+車位,住,2019-07-25,True,住宅大樓(11層含以上有電梯),2,4,3,True,True,1,1,2,坡道平面,192668,5400000,47550000,142.56,31.93,76.34,25.1291,121.50296
267,臺北市,士林區,文林路５５８號三樓之２,房地(土地+建物)+車位,商,2016-05-17,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,213094,2200000,32600000,102.64,20.38,31.72,25.09784,121.5242
272,臺北市,信義區,忠孝東路四段５５５之１號二十七樓,房地(土地+建物)+車位,住,2018-09-20,False,住宅大樓(11層含以上有電梯),0,0,0,False,True,2,1,3,坡道平面,513850,0,231880000,243.06,36.3,112.68,25.04152,121.56304
274,臺北市,信義區,永吉路１６７號十樓,房地(土地+建物)+車位,商,1997-03-14,False,住宅大樓(11層含以上有電梯),2,2,2,True,True,2,1,1,坡道平面,205670,0,32500000,90.51,18.71,42.23,25.04577,121.57141
287,臺北市,內湖區,行善路３３３巷９２號三樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,4,2,True,True,1,1,1,坡道平面,208117,2500000,36500000,106.52000000000001,40.42,35.73,25.06067,121.58632
288,臺北市,內湖區,行善路３３３巷９０號三樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,196153,2500000,27380000,82.7,29.97,35.73,25.06067,121.58632
289,臺北市,內湖區,行善路３３３巷９０號二樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,195595,2700000,27300000,82.0,29.97,35.73,25.06067,121.58632
290,臺北市,內湖區,行善路３３３巷９０號六樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,197099,2500000,27500000,82.7,29.97,35.73,25.06067,121.58632
291,臺北市,內湖區,行善路３３３巷９０號九樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,202872,2800000,36000000,106.70000000000002,39.8,28.88,25.06067,121.58632
292,臺北市,內湖區,行善路３３３巷９０號八樓,房地(土地+建物)+車位,住,2019-09-27,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,202854,2500000,28230000,82.7,29.97,35.73,25.06067,121.58632
296,臺北市,中山區,吉林路６號四樓之１,房地(土地+建物)+車位,住,2014-05-30,True,住宅大樓(11層含以上有電梯),2,3,3,True,True,2,1,4,坡道平面,233444,0,126800000,238.02,64.31,185.2,25.04908,121.5299
302,臺北市,萬華區,長沙街二段１４６號十二樓之２,房地(土地+建物)+車位,商,2019-03-04,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,2,1,1,坡道平面,199765,2250000,20920000,61.89,9.32,43.22,25.04063,121.50134
307,臺北市,大同區,敦煌路２４巷６號二樓之７,房地(土地+建物)+車位,住,2019-05-16,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,升降機械,210236,2500000,12400000,29.0,9.72,47.94,25.07476,121.51919
311,臺北市,萬華區,青年路１５２巷３０號九樓之３,房地(土地+建物)+車位,住,2008-01-03,True,華廈(10層含以下有電梯),2,3,2,True,True,4,1,1,坡道平面,124912,0,20588000,98.33,35.24,0.0,25.02025,121.50119
316,臺北市,萬華區,貴陽街二段３３號十四樓之７,房地(土地+建物)+車位,商,2017-11-27,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,206375,2800000,29800000,94.19000000000001,11.36,27.87,25.03963,121.50531
323,臺北市,文山區,木柵路四段137號十樓之1,房地(土地+建物)+車位,其他,2011-02-14,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,2,1,2,坡道機械,161032,0,33580000,129.19,57.33,28.9,24.99857,121.57375
324,臺北市,文山區,木柵路二段１０９巷１００弄５２號五樓,房地(土地+建物)+車位,住,1996-09-25,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,2,1,1,坡道機械,126681,0,16300000,89.34,73.51,13.66,24.99238,121.56119
329,臺北市,文山區,興隆路四段１０５巷２１號十一樓,房地(土地+建物)+車位,住,1995-08-21,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,124567,0,18000000,115.2,24.63,33.39,24.98798,121.56168
331,臺北市,文山區,辛亥路四段１６６巷31號四樓,房地(土地+建物)+車位,住,2018-10-26,True,華廈(10層含以下有電梯),2,2,1,True,True,1,1,1,坡道機械,210679,1400000,23180000,69.00999999999999,26.57,26.62,25.00365,121.55621
332,臺北市,文山區,政大一街320巷108號5樓,房地(土地+建物)+車位,商,2011-04-29,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,136676,0,43750000,172.88,43.69,74.86,24.98541,121.58646
339,臺北市,文山區,木柵路三段４８巷１弄９號七樓,房地(土地+建物)+車位,住,1996-08-09,True,華廈(10層含以下有電梯),2,4,2,True,True,1,1,2,坡道平面,114101,0,24000000,131.01,38.51,0.0,24.98781,121.56492
341,臺北市,萬華區,萬大路３４４巷３６號二十五樓之２,房地(土地+建物)+車位,商,2015-02-06,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,2,坡道平面,142760,0,40000000,136.16,27.28,77.52,25.02401,121.49847
359,臺北市,內湖區,內湖路一段392號3樓之1,房地(土地+建物)+車位,其他,1999-05-24,True,廠辦,0,0,0,False,False,1,1,1,坡道平面,167033,0,50860000,157.54,46.04,0.0,25.08064,121.5729
361,臺北市,內湖區,民權東路六段216之1號5樓,房地(土地+建物)+車位,商,2011-10-19,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,143635,0,34800000,133.81,29.98,41.26,25.06707,121.59801
362,臺北市,內湖區,洲子街72號8樓,房地(土地+建物)+車位,其他,1999-02-04,True,廠辦,0,0,0,False,False,1,1,2,坡道平面,142989,0,46500000,184.7,68.94,66.02,25.07928,121.57205
365,臺北市,中山區,民權西路６３號十四樓之１,房地(土地+建物)+車位,商,2017-10-31,True,住宅大樓(11層含以上有電梯),0,0,0,False,True,1,1,1,坡道平面,350657,2400000,58880400,108.13,11.51,27.49,25.06303,121.52013
366,臺北市,中山區,民權西路６９號十四樓,房地(土地+建物)+車位,商,2017-10-31,True,住宅大樓(11層含以上有電梯),0,0,0,False,False,1,1,1,坡道平面,350267,2600000,63882800,117.42999999999999,14.66,27.49,25.06303,121.51999
367,臺北市,中山區,民權西路６９號十四樓之１,房地(土地+建物)+車位,商,2017-10-31,True,住宅大樓(11層含以上有電梯),0,0,0,False,True,1,1,1,坡道平面,350165,2400000,51920400,94.91,10.29,27.49,25.06303,121.51999
368,臺北市,內湖區,新豐街106號6樓,房地(土地+建物)+車位,住,2009-07-15,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,175035,0,38800000,116.12,44.92,35.41,25.06083,121.58469
372,臺北市,內湖區,民權東路六段１０９號九樓之２,房地(土地+建物)+車位,商,1998-09-16,True,辦公商業大樓,0,0,0,False,False,1,1,2,坡道平面,129524,0,40800000,171.24,34.77,76.5,25.06915,121.59159
373,臺北市,中山區,新生北路三段85號7樓之一,房地(土地+建物)+車位,住,2019-07-23,True,華廈(10層含以下有電梯),2,2,1,True,True,1,1,1,升降機械,208137,2000000,19650000,54.65,11.18,10.19,25.06723,121.5281
374,臺北市,松山區,南京東路5段40之1號12樓之1,房地(土地+建物)+車位,其他,1990-02-16,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,197021,0,29100000,127.53000000000002,10.69,0.0,25.05148,121.55323
379,臺北市,松山區,延壽街３３０巷１７弄２號三樓,房地(土地+建物)+車位,住,1993-03-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,2,1,1,其他,202945,0,26600000,103.06,23.83,0.0,25.05459,121.56059
